ArticleURL,OcrURL,TxtURL
https://chroniclingamerica.loc.gov/lccn/sn85033611/1860-12-13/ed-1/seq-2/,https://chroniclingamerica.loc.gov/lccn/sn85033611/1860-12-13/ed-1/seq-2/ocr,https://chroniclingamerica.loc.gov/lccn/sn85033611/1860-12-13/ed-1/seq-2/ocr.txt
https://chroniclingamerica.loc.gov/lccn/sn82014760/1860-12-05/ed-1/seq-2/,https://chroniclingamerica.loc.gov/lccn/sn82014760/1860-12-05/ed-1/seq-2/ocr,https://chroniclingamerica.loc.gov/lccn/sn82014760/1860-12-05/ed-1/seq-2/ocr.txt
https://chroniclingamerica.loc.gov/lccn/sn84026965/1860-12-13/ed-1/seq-4/,https://chroniclingamerica.loc.gov/lccn/sn84026965/1860-12-13/ed-1/seq-4/ocr,https://chroniclingamerica.loc.gov/lccn/sn84026965/1860-12-13/ed-1/seq-4/ocr.txt
https://chroniclingamerica.loc.gov/lccn/sn84026925/1860-12-13/ed-1/seq-2/,https://chroniclingamerica.loc.gov/lccn/sn84026925/1860-12-13/ed-1/seq-2/ocr,https://chroniclingamerica.loc.gov/lccn/sn84026925/1860-12-13/ed-1/seq-2/ocr.txt
https://chroniclingamerica.loc.gov/lccn/sn85054616/1860-12-12/ed-1/seq-3/,https://chroniclingamerica.loc.gov/lccn/sn85054616/1860-12-12/ed-1/seq-3/ocr,https://chroniclingamerica.loc.gov/lccn/sn85054616/1860-12-12/ed-1/seq-3/ocr.txt
https://chroniclingamerica.loc.gov/lccn/sn85025007/1860-12-06/ed-1/seq-3/,https://chroniclingamerica.loc.gov/lccn/sn85025007/1860-12-06/ed-1/seq-3/ocr,https://chroniclingamerica.loc.gov/lccn/sn85025007/1860-12-06/ed-1/seq-3/ocr.txt
https://chroniclingamerica.loc.gov/lccn/sn84027253/1860-12-07/ed-1/seq-2/,https://chroniclingamerica.loc.gov/lccn/sn84027253/1860-12-07/ed-1/seq-2/ocr,https://chroniclingamerica.loc.gov/lccn/sn84027253/1860-12-07/ed-1/seq-2/ocr.txt
https://chroniclingamerica.loc.gov/lccn/sn83035102/1860-12-12/ed-1/seq-2/,https://chroniclingamerica.loc.gov/lccn/sn83035102/1860-12-12/ed-1/seq-2/ocr,https://chroniclingamerica.loc.gov/lccn/sn83035102/1860-12-12/ed-1/seq-2/ocr.txt
https://chroniclingamerica.loc.gov/lccn/sn85025569/1860-12-12/ed-1/seq-3/,https://chroniclingamerica.loc.gov/lccn/sn85025569/1860-12-12/ed-1/seq-3/ocr,https://chroniclingamerica.loc.gov/lccn/sn85025569/1860-12-12/ed-1/seq-3/ocr.txt
https://chroniclingamerica.loc.gov/lccn/sn84026547/1860-12-11/ed-1/seq-2/,https://chroniclingamerica.loc.gov/lccn/sn84026547/1860-12-11/ed-1/seq-2/ocr,https://chroniclingamerica.loc.gov/lccn/sn84026547/1860-12-11/ed-1/seq-2/ocr.txt
